ms=59249 od=79.60 cd=79.60 mind=79.56 maxd=79.62 dh=79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60, sh=79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,79.60,
ms=59820 od=79.63 cd=79.62 mind=79.56 maxd=79.62 dh=79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62, sh=79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,79.62,
ms=60391 od=79.63 cd=79.62 mind=79.56 maxd=79.62 dh=79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60, sh=79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,79.60,
ms=60962 od=79.63 cd=79.63 mind=79.54 maxd=79.65 dh=79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62, sh=79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,79.62,
ms=61584 od=79.60 cd=79.60 mind=79.56 maxd=79.62 dh=79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66, sh=79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,55.66,
ms=62152 od=79.61 cd=79.61 mind=79.57 maxd=79.62 dh=79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58, sh=79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,79.58,
ms=62722 od=79.68 cd=79.64 mind=79.57 maxd=79.64 dh=79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58, sh=79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,79.58,
ms=63286 od=79.60 cd=79.60 mind=79.57 maxd=79.64 dh=79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58, sh=79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,79.58,
ms=63857 od=79.68 cd=79.66 mind=79.56 maxd=79.66 dh=79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60, sh=79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,79.60,
ms=64422 od=80.05 cd=79.66 mind=79.56 maxd=79.66 dh=80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60, sh=80.05,79.68,79.60,79.68,79.61,79.60,79.63,79.63,79.63,79.60,79.60,79.60,79.58,79.60,79.60,79.60,
